id,postid,votetypeid,userid,creationdate,bountyamount,jsonfield
89,22,2,,2014-01-21 00:00:00,,
90,26,2,,2014-01-21 00:00:00,,
91,48,2,,2014-01-21 00:00:00,,
92,52,2,,2014-01-21 00:00:00,,
93,48,2,,2014-01-21 00:00:00,,
94,44,2,,2014-01-21 00:00:00,,
95,56,2,,2014-01-21 00:00:00,,
96,39,2,,2014-01-21 00:00:00,,
97,50,2,,2014-01-21 00:00:00,,
98,53,2,,2014-01-21 00:00:00,,
99,56,2,,2014-01-21 00:00:00,,
100,38,2,,2014-01-21 00:00:00,,
101,53,2,,2014-01-21 00:00:00,,
102,49,2,,2014-01-21 00:00:00,,
103,18,1,,2014-01-21 00:00:00,,
104,5,16,,2014-01-21 00:00:00,,
105,4,1,,2014-01-21 00:00:00,,
106,19,2,,2014-01-21 00:00:00,,
107,59,2,,2014-01-21 00:00:00,,
108,35,16,,2014-01-21 00:00:00,,
109,2,2,,2014-01-21 00:00:00,,
111,38,2,,2014-01-21 00:00:00,,
112,32,2,,2014-01-21 00:00:00,,
113,49,2,,2014-01-21 00:00:00,,
114,16,2,,2014-01-21 00:00:00,,
115,64,2,,2014-01-21 00:00:00,,
116,57,2,,2014-01-21 00:00:00,,
117,65,2,,2014-01-21 00:00:00,,
118,59,2,,2014-01-21 00:00:00,,
119,63,2,,2014-01-21 00:00:00,,
120,5,2,,2014-01-21 00:00:00,,
121,12,2,,2014-01-21 00:00:00,,
122,63,2,,2014-01-21 00:00:00,,
123,65,2,,2014-01-21 00:00:00,,
124,63,2,,2014-01-21 00:00:00,,
125,56,2,,2014-01-21 00:00:00,,
126,65,2,,2014-01-21 00:00:00,,
127,67,2,,2014-01-21 00:00:00,,
128,16,2,,2014-01-21 00:00:00,,
129,46,2,,2014-01-21 00:00:00,,
130,68,2,,2014-01-21 00:00:00,,
131,65,2,,2014-01-21 00:00:00,,
132,64,3,,2014-01-21 00:00:00,,
133,54,2,,2014-01-21 00:00:00,,
134,65,2,,2014-01-21 00:00:00,,
135,68,2,,2014-01-21 00:00:00,,
136,53,2,,2014-01-21 00:00:00,,
137,57,2,,2014-01-21 00:00:00,,
138,53,2,,2014-01-21 00:00:00,,
139,65,2,,2014-01-21 00:00:00,,
140,56,2,,2014-01-21 00:00:00,,
142,63,2,,2014-01-21 00:00:00,,
143,53,2,,2014-01-21 00:00:00,,
144,71,2,,2014-01-21 00:00:00,,
145,33,2,,2014-01-21 00:00:00,,
146,42,2,,2014-01-21 00:00:00,,
147,32,2,,2014-01-21 00:00:00,,
148,6,2,,2014-01-21 00:00:00,,
149,16,2,,2014-01-21 00:00:00,,
150,22,2,,2014-01-21 00:00:00,,
151,26,2,,2014-01-21 00:00:00,,
152,15,2,,2014-01-21 00:00:00,,
153,3,2,,2014-01-21 00:00:00,,
154,57,2,,2014-01-21 00:00:00,,
155,13,2,,2014-01-21 00:00:00,,
156,13,2,,2014-01-21 00:00:00,,
157,13,1,,2014-01-21 00:00:00,,
158,15,2,,2014-01-21 00:00:00,,
159,72,2,,2014-01-21 00:00:00,,
160,4,2,,2014-01-21 00:00:00,,
161,1,2,,2014-01-21 00:00:00,,
162,66,10,,2014-01-21 00:00:00,,
163,72,2,,2014-01-21 00:00:00,,
164,54,2,,2014-01-21 00:00:00,,
165,57,2,,2014-01-21 00:00:00,,
166,14,2,,2014-01-21 00:00:00,,
167,27,2,,2014-01-21 00:00:00,,
168,8,2,,2014-01-21 00:00:00,,
169,18,2,,2014-01-21 00:00:00,,
170,72,2,,2014-01-21 00:00:00,,
171,52,2,,2014-01-21 00:00:00,,
172,7,2,,2014-01-21 00:00:00,,
173,67,3,,2014-01-21 00:00:00,,
174,70,2,,2014-01-21 00:00:00,,
175,8,2,,2014-01-21 00:00:00,,
176,18,2,,2014-01-21 00:00:00,,
177,63,2,,2014-01-21 00:00:00,,
178,64,2,,2014-01-21 00:00:00,,
179,68,2,,2014-01-21 00:00:00,,
180,75,2,,2014-01-21 00:00:00,,
181,17,2,,2014-01-21 00:00:00,,
182,50,2,,2014-01-21 00:00:00,,
183,38,2,,2014-01-21 00:00:00,,
184,52,1,,2014-01-21 00:00:00,,
185,73,16,,2014-01-21 00:00:00,,
186,71,1,,2014-01-21 00:00:00,,
187,37,2,,2014-01-21 00:00:00,,
188,48,2,,2014-01-21 00:00:00,,
189,70,2,,2014-01-21 00:00:00,,
190,74,2,,2014-01-21 00:00:00,,
191,73,2,,2014-01-21 00:00:00,,
192,73,2,,2014-01-21 00:00:00,,
193,35,2,,2014-01-21 00:00:00,,
194,44,2,,2014-01-21 00:00:00,,
195,43,2,,2014-01-21 00:00:00,,
196,51,2,,2014-01-21 00:00:00,,
197,58,2,,2014-01-21 00:00:00,,
198,44,1,,2014-01-21 00:00:00,,
199,70,2,,2014-01-21 00:00:00,,
200,5,2,,2014-01-21 00:00:00,,
201,19,2,,2014-01-21 00:00:00,,
202,2,2,,2014-01-21 00:00:00,,
203,4,16,,2014-01-21 00:00:00,,
204,73,2,,2014-01-21 00:00:00,,
205,35,2,,2014-01-21 00:00:00,,
206,77,2,,2014-01-21 00:00:00,,
207,78,2,,2014-01-21 00:00:00,,
208,70,2,,2014-01-21 00:00:00,,
209,78,2,,2014-01-21 00:00:00,,
211,70,2,,2014-01-21 00:00:00,,
212,79,3,,2014-01-21 00:00:00,,
213,64,2,,2014-01-21 00:00:00,,
214,78,2,,2014-01-21 00:00:00,,
215,62,2,,2014-01-21 00:00:00,,
216,35,2,,2014-01-21 00:00:00,,
217,44,2,,2014-01-21 00:00:00,,
218,36,2,,2014-01-21 00:00:00,,
219,23,3,,2014-01-21 00:00:00,,
220,79,2,,2014-01-21 00:00:00,,
221,81,3,,2014-01-21 00:00:00,,
222,54,2,,2014-01-21 00:00:00,,
223,77,2,,2014-01-21 00:00:00,,
224,19,2,,2014-01-21 00:00:00,,
225,5,2,,2014-01-21 00:00:00,,
226,85,3,,2014-01-21 00:00:00,,
227,81,2,,2014-01-21 00:00:00,,
228,87,2,,2014-01-21 00:00:00,,
229,85,2,,2014-01-21 00:00:00,,
231,75,2,,2014-01-21 00:00:00,,
232,47,2,,2014-01-21 00:00:00,,
233,62,2,,2014-01-21 00:00:00,,
234,82,2,,2014-01-21 00:00:00,,
235,70,2,,2014-01-21 00:00:00,,
236,61,2,,2014-01-21 00:00:00,,
237,32,2,,2014-01-21 00:00:00,,
238,88,2,,2014-01-21 00:00:00,,
239,86,2,,2014-01-21 00:00:00,,
240,83,2,,2014-01-21 00:00:00,,
241,8,2,,2014-01-21 00:00:00,,
242,18,2,,2014-01-21 00:00:00,,
243,86,3,,2014-01-21 00:00:00,,
244,33,2,,2014-01-21 00:00:00,,
245,82,2,,2014-01-21 00:00:00,,
246,19,2,,2014-01-21 00:00:00,,
247,85,2,,2014-01-21 00:00:00,,
248,91,2,,2014-01-21 00:00:00,,
249,90,2,,2014-01-21 00:00:00,,
250,69,2,,2014-01-21 00:00:00,,
251,61,2,,2014-01-21 00:00:00,,
252,89,2,,2014-01-21 00:00:00,,
253,60,2,,2014-01-21 00:00:00,,
254,55,2,,2014-01-21 00:00:00,,
255,40,2,,2014-01-21 00:00:00,,
256,41,2,,2014-01-21 00:00:00,,
257,78,2,,2014-01-21 00:00:00,,
258,46,2,,2014-01-21 00:00:00,,
259,3,2,,2014-01-21 00:00:00,,
260,61,2,,2014-01-21 00:00:00,,
261,85,2,,2014-01-21 00:00:00,,
262,84,16,,2014-01-21 00:00:00,,
263,97,2,,2014-01-21 00:00:00,,
264,74,2,,2014-01-21 00:00:00,,
265,96,2,,2014-01-21 00:00:00,,
266,96,2,,2014-01-21 00:00:00,,
267,84,3,,2014-01-21 00:00:00,,
268,15,2,,2014-01-21 00:00:00,,
269,76,2,,2014-01-21 00:00:00,,
270,1,16,,2014-01-21 00:00:00,,
271,2,2,,2014-01-21 00:00:00,,
272,2,3,,2014-01-21 00:00:00,,
273,46,2,,2014-01-21 00:00:00,,
274,2,2,,2014-01-21 00:00:00,,
275,99,2,,2014-01-21 00:00:00,,
276,92,3,,2014-01-21 00:00:00,,
277,99,2,,2014-01-21 00:00:00,,
278,99,2,,2014-01-21 00:00:00,,
279,1,2,,2014-01-21 00:00:00,,
280,4,2,,2014-01-21 00:00:00,,
281,85,16,,2014-01-21 00:00:00,,
282,22,2,,2014-01-21 00:00:00,,
283,85,2,,2014-01-21 00:00:00,,
284,68,3,,2014-01-21 00:00:00,,
285,26,2,,2014-01-21 00:00:00,,
286,3,2,,2014-01-21 00:00:00,,
287,76,2,,2014-01-21 00:00:00,,
288,93,2,,2014-01-21 00:00:00,,
289,84,3,,2014-01-21 00:00:00,,
290,61,2,,2014-01-21 00:00:00,,
291,89,2,,2014-01-21 00:00:00,,
292,53,2,,2014-01-21 00:00:00,,
293,65,2,,2014-01-21 00:00:00,,
294,74,2,,2014-01-21 00:00:00,,
295,100,2,,2014-01-21 00:00:00,,
296,93,2,,2014-01-21 00:00:00,,
297,85,2,,2014-01-21 00:00:00,,
298,70,2,,2014-01-21 00:00:00,,
299,98,2,,2014-01-21 00:00:00,,
300,83,2,,2014-01-21 00:00:00,,
301,32,2,,2014-01-21 00:00:00,,
302,56,2,,2014-01-21 00:00:00,,
303,103,3,,2014-01-21 00:00:00,,
304,32,2,,2014-01-21 00:00:00,,
305,104,2,,2014-01-21 00:00:00,,
306,79,16,,2014-01-21 00:00:00,,
307,93,2,,2014-01-21 00:00:00,,
308,64,2,,2014-01-21 00:00:00,,
309,68,2,,2014-01-21 00:00:00,,
310,104,2,,2014-01-21 00:00:00,,
311,99,2,,2014-01-21 00:00:00,,
312,104,2,,2014-01-21 00:00:00,,
313,64,2,,2014-01-21 00:00:00,,
314,68,2,,2014-01-21 00:00:00,,
315,104,2,,2014-01-21 00:00:00,,
316,28,2,,2014-01-21 00:00:00,,
317,65,2,,2014-01-21 00:00:00,,
318,106,2,,2014-01-21 00:00:00,,
319,109,2,,2014-01-21 00:00:00,,
320,111,2,,2014-01-21 00:00:00,,
321,105,2,,2014-01-21 00:00:00,,
323,112,2,,2014-01-21 00:00:00,,
324,99,2,,2014-01-21 00:00:00,,
325,81,2,,2014-01-21 00:00:00,,
326,113,2,,2014-01-21 00:00:00,,
327,110,2,,2014-01-21 00:00:00,,
328,113,2,,2014-01-21 00:00:00,,
329,105,2,,2014-01-21 00:00:00,,
330,112,2,,2014-01-21 00:00:00,,
331,99,2,,2014-01-21 00:00:00,,
332,110,2,,2014-01-21 00:00:00,,
333,82,2,,2014-01-21 00:00:00,,
334,104,2,,2014-01-21 00:00:00,,
335,115,2,,2014-01-21 00:00:00,,
336,104,2,,2014-01-21 00:00:00,,
337,99,2,,2014-01-21 00:00:00,,
338,117,2,,2014-01-21 00:00:00,,
339,70,2,,2014-01-21 00:00:00,,
340,88,2,,2014-01-21 00:00:00,,
341,37,2,,2014-01-21 00:00:00,,
342,112,2,,2014-01-21 00:00:00,,
343,85,2,,2014-01-21 00:00:00,,
344,99,2,,2014-01-21 00:00:00,,
345,112,2,,2014-01-21 00:00:00,,
346,99,2,,2014-01-21 00:00:00,,
347,69,2,,2014-01-21 00:00:00,,
348,44,2,,2014-01-21 00:00:00,,
349,16,2,,2014-01-21 00:00:00,,
350,105,2,,2014-01-21 00:00:00,,
351,32,2,,2014-01-21 00:00:00,,
352,121,2,,2014-01-21 00:00:00,,
354,64,2,,2014-01-21 00:00:00,,
355,112,2,,2014-01-21 00:00:00,,
356,16,2,,2014-01-21 00:00:00,,
358,120,2,,2014-01-21 00:00:00,,
359,118,2,,2014-01-21 00:00:00,,
360,122,2,,2014-01-21 00:00:00,,
361,105,2,,2014-01-21 00:00:00,,
362,125,2,,2014-01-21 00:00:00,,
363,125,2,,2014-01-21 00:00:00,,
364,121,2,,2014-01-21 00:00:00,,
365,122,16,,2014-01-21 00:00:00,,
366,123,2,,2014-01-21 00:00:00,,
367,116,2,,2014-01-21 00:00:00,,
368,127,2,,2014-01-21 00:00:00,,
369,100,2,,2014-01-21 00:00:00,,
370,124,2,,2014-01-21 00:00:00,,
371,126,2,,2014-01-21 00:00:00,,
372,100,1,,2014-01-21 00:00:00,,
373,130,2,,2014-01-21 00:00:00,,
374,127,2,,2014-01-21 00:00:00,,
375,131,3,,2014-01-21 00:00:00,,
376,129,2,,2014-01-21 00:00:00,,
377,50,2,,2014-01-21 00:00:00,,
378,107,2,,2014-01-21 00:00:00,,
379,128,2,,2014-01-21 00:00:00,,
380,105,2,,2014-01-21 00:00:00,,
382,121,2,,2014-01-21 00:00:00,,
383,130,2,,2014-01-21 00:00:00,,
384,130,1,,2014-01-21 00:00:00,,
385,131,2,,2014-01-21 00:00:00,,
386,132,3,,2014-01-21 00:00:00,,
387,133,2,,2014-01-21 00:00:00,,
388,125,2,,2014-01-21 00:00:00,,
390,127,2,,2014-01-21 00:00:00,,
391,130,2,,2014-01-21 00:00:00,,
392,125,2,,2014-01-21 00:00:00,,
393,123,15,,2014-01-21 00:00:00,,
394,1,2,,2014-01-21 00:00:00,,
395,69,2,,2014-01-21 00:00:00,,
396,135,2,,2014-01-21 00:00:00,,
397,134,2,,2014-01-21 00:00:00,,
398,42,2,,2014-01-21 00:00:00,,
399,74,2,,2014-01-21 00:00:00,,
400,33,2,,2014-01-21 00:00:00,,
401,136,2,,2014-01-21 00:00:00,,
402,28,16,,2014-01-21 00:00:00,,
403,60,2,,2014-01-21 00:00:00,,
404,63,2,,2014-01-21 00:00:00,,
405,75,2,,2014-01-21 00:00:00,,
406,50,2,,2014-01-21 00:00:00,,
407,55,2,,2014-01-21 00:00:00,,
408,85,2,,2014-01-21 00:00:00,,
409,134,2,,2014-01-22 00:00:00,,
410,69,2,,2014-01-22 00:00:00,,
411,11,3,,2014-01-22 00:00:00,,
412,136,2,,2014-01-22 00:00:00,,
413,28,2,,2014-01-22 00:00:00,,
414,75,2,,2014-01-22 00:00:00,,
415,26,2,,2014-01-22 00:00:00,,
416,112,2,,2014-01-22 00:00:00,,
417,99,2,,2014-01-22 00:00:00,,
418,4,2,,2014-01-22 00:00:00,,
419,1,2,,2014-01-22 00:00:00,,
420,134,2,,2014-01-22 00:00:00,,
421,126,2,,2014-01-22 00:00:00,,
422,69,2,,2014-01-22 00:00:00,,
423,85,2,,2014-01-22 00:00:00,,
424,93,2,,2014-01-22 00:00:00,,
425,18,2,,2014-01-22 00:00:00,,
426,87,2,,2014-01-22 00:00:00,,
427,13,2,,2014-01-22 00:00:00,,
428,3,2,,2014-01-22 00:00:00,,
429,99,2,,2014-01-22 00:00:00,,
430,50,2,,2014-01-22 00:00:00,,
431,28,2,,2014-01-22 00:00:00,,
432,26,2,,2014-01-22 00:00:00,,
433,65,2,,2014-01-22 00:00:00,,
434,134,2,,2014-01-22 00:00:00,,
435,32,1,,2014-01-22 00:00:00,,
436,26,2,,2014-01-22 00:00:00,,
437,22,2,,2014-01-22 00:00:00,,
438,129,2,,2014-01-22 00:00:00,,
441,126,2,,2014-01-22 00:00:00,,
442,22,2,,2014-01-22 00:00:00,,
443,26,2,,2014-01-22 00:00:00,,
444,50,2,,2014-01-22 00:00:00,,
445,140,2,,2014-01-22 00:00:00,,
446,108,2,,2014-01-22 00:00:00,,
447,108,1,,2014-01-22 00:00:00,,
448,34,2,,2014-01-22 00:00:00,,
449,25,2,,2014-01-22 00:00:00,,
450,95,16,,2014-01-22 00:00:00,,
451,110,16,,2014-01-22 00:00:00,,
452,116,16,,2014-01-22 00:00:00,,
453,131,2,,2014-01-22 00:00:00,,
454,123,2,,2014-01-22 00:00:00,,
455,136,1,,2014-01-22 00:00:00,,
456,123,15,,2014-01-22 00:00:00,,
457,33,2,,2014-01-22 00:00:00,,
458,42,2,,2014-01-22 00:00:00,,
459,129,2,,2014-01-22 00:00:00,,
460,120,2,,2014-01-22 00:00:00,,
461,82,2,,2014-01-22 00:00:00,,
462,91,2,,2014-01-22 00:00:00,,
463,90,2,,2014-01-22 00:00:00,,
464,93,2,,2014-01-22 00:00:00,,
465,138,2,,2014-01-22 00:00:00,,
467,28,2,,2014-01-22 00:00:00,,
469,5,2,,2014-01-22 00:00:00,,
471,138,2,,2014-01-22 00:00:00,,
472,69,2,,2014-01-22 00:00:00,,
473,134,2,,2014-01-22 00:00:00,,
474,139,2,,2014-01-22 00:00:00,,
475,140,2,,2014-01-22 00:00:00,,
476,135,2,,2014-01-22 00:00:00,,
477,126,2,,2014-01-22 00:00:00,,
478,64,2,,2014-01-22 00:00:00,,
480,134,1,,2014-01-22 00:00:00,,
481,134,2,,2014-01-22 00:00:00,,
482,146,3,,2014-01-22 00:00:00,,
483,143,2,,2014-01-22 00:00:00,,
484,70,2,,2014-01-22 00:00:00,,
486,148,3,,2014-01-22 00:00:00,,
487,149,2,,2014-01-22 00:00:00,,
488,150,2,,2014-01-22 00:00:00,,
489,150,3,,2014-01-22 00:00:00,,
490,153,2,,2014-01-22 00:00:00,,
491,121,2,,2014-01-22 00:00:00,,
492,125,2,,2014-01-22 00:00:00,,
493,81,2,,2014-01-22 00:00:00,,
494,155,3,,2014-01-22 00:00:00,,
495,137,2,,2014-01-22 00:00:00,,
496,156,2,,2014-01-22 00:00:00,,
497,150,2,,2014-01-22 00:00:00,,
498,149,2,,2014-01-22 00:00:00,,
499,153,2,,2014-01-22 00:00:00,,
500,157,2,,2014-01-22 00:00:00,,
501,158,3,,2014-01-22 00:00:00,,
502,158,2,,2014-01-22 00:00:00,,
503,155,2,,2014-01-22 00:00:00,,
504,160,2,,2014-01-22 00:00:00,,
505,157,2,,2014-01-22 00:00:00,,
506,150,2,,2014-01-22 00:00:00,,
507,156,2,,2014-01-22 00:00:00,,
508,158,16,,2014-01-22 00:00:00,,
509,143,2,,2014-01-22 00:00:00,,
510,145,2,,2014-01-22 00:00:00,,
511,141,2,,2014-01-22 00:00:00,,
512,112,2,,2014-01-22 00:00:00,,
513,113,2,,2014-01-22 00:00:00,,
514,120,2,,2014-01-22 00:00:00,,
515,93,2,,2014-01-22 00:00:00,,
516,137,2,,2014-01-22 00:00:00,,
517,111,2,,2014-01-22 00:00:00,,
518,88,2,,2014-01-22 00:00:00,,
519,80,2,,2014-01-22 00:00:00,,
520,89,2,,2014-01-22 00:00:00,,
521,78,2,,2014-01-22 00:00:00,,
522,72,2,,2014-01-22 00:00:00,,
523,67,2,,2014-01-22 00:00:00,,
524,65,2,,2014-01-22 00:00:00,,
525,71,2,,2014-01-22 00:00:00,,
526,20,2,,2014-01-22 00:00:00,,
527,13,2,,2014-01-22 00:00:00,,
528,162,3,,2014-01-22 00:00:00,,
529,113,2,,2014-01-22 00:00:00,,
530,120,2,,2014-01-22 00:00:00,,
531,144,2,,2014-01-22 00:00:00,,
532,164,2,,2014-01-22 00:00:00,,
533,161,2,,2014-01-22 00:00:00,,
534,123,2,,2014-01-22 00:00:00,,
535,131,2,,2014-01-22 00:00:00,,
536,126,2,,2014-01-22 00:00:00,,
537,143,2,,2014-01-22 00:00:00,,
538,82,2,,2014-01-22 00:00:00,,
539,91,2,,2014-01-22 00:00:00,,
540,160,2,,2014-01-22 00:00:00,,
541,117,2,,2014-01-22 00:00:00,,
542,76,2,,2014-01-22 00:00:00,,
543,70,2,,2014-01-22 00:00:00,,
544,88,2,,2014-01-22 00:00:00,,
545,75,2,,2014-01-22 00:00:00,,
546,63,2,,2014-01-22 00:00:00,,
547,153,2,,2014-01-22 00:00:00,,
548,166,2,,2014-01-22 00:00:00,,
549,159,2,,2014-01-22 00:00:00,,
550,81,2,,2014-01-22 00:00:00,,
552,32,2,,2014-01-22 00:00:00,,
553,16,2,,2014-01-22 00:00:00,,
554,150,2,,2014-01-22 00:00:00,,
555,126,2,,2014-01-22 00:00:00,,
556,88,1,,2014-01-22 00:00:00,,
557,102,2,,2014-01-22 00:00:00,,
558,70,2,,2014-01-22 00:00:00,,
559,35,2,,2014-01-22 00:00:00,,
560,10,2,,2014-01-22 00:00:00,,
561,170,2,,2014-01-22 00:00:00,,
562,126,2,,2014-01-22 00:00:00,,
563,131,2,,2014-01-22 00:00:00,,
564,167,2,,2014-01-22 00:00:00,,
565,161,2,,2014-01-22 00:00:00,,
566,155,2,,2014-01-22 00:00:00,,
567,102,2,,2014-01-22 00:00:00,,
568,175,2,,2014-01-22 00:00:00,,
569,150,2,,2014-01-22 00:00:00,,
570,176,2,,2014-01-22 00:00:00,,
571,170,2,,2014-01-22 00:00:00,,
572,167,2,,2014-01-22 00:00:00,,
573,81,2,,2014-01-22 00:00:00,,
574,169,2,,2014-01-22 00:00:00,,
575,177,2,,2014-01-22 00:00:00,,
576,33,2,,2014-01-22 00:00:00,,
577,72,2,,2014-01-22 00:00:00,,
578,123,2,,2014-01-22 00:00:00,,
579,36,2,,2014-01-22 00:00:00,,
580,169,2,,2014-01-22 00:00:00,,
581,160,2,,2014-01-22 00:00:00,,
582,143,2,,2014-01-22 00:00:00,,
583,12,2,,2014-01-22 00:00:00,,
584,25,2,,2014-01-22 00:00:00,,
585,20,2,,2014-01-22 00:00:00,,
587,105,2,,2014-01-22 00:00:00,,
589,37,2,,2014-01-22 00:00:00,,
590,53,2,,2014-01-22 00:00:00,,
591,107,2,,2014-01-22 00:00:00,,
592,28,2,,2014-01-22 00:00:00,,
593,17,2,,2014-01-22 00:00:00,,
594,116,2,,2014-01-22 00:00:00,,
595,9,3,,2014-01-22 00:00:00,,
596,24,2,,2014-01-22 00:00:00,,
597,11,2,,2014-01-22 00:00:00,,
598,2,2,,2014-01-22 00:00:00,,
599,41,2,,2014-01-22 00:00:00,,
600,89,2,,2014-01-22 00:00:00,,
601,156,2,,2014-01-22 00:00:00,,
602,106,2,,2014-01-22 00:00:00,,
603,174,2,,2014-01-22 00:00:00,,
604,83,2,,2014-01-22 00:00:00,,
605,4,2,,2014-01-22 00:00:00,,
606,28,2,,2014-01-22 00:00:00,,
607,127,2,,2014-01-22 00:00:00,,
608,178,2,,2014-01-22 00:00:00,,
609,15,2,,2014-01-22 00:00:00,,
610,153,2,,2014-01-22 00:00:00,,
611,159,2,,2014-01-22 00:00:00,,
612,35,2,,2014-01-22 00:00:00,,
613,44,2,,2014-01-22 00:00:00,,
614,43,2,,2014-01-22 00:00:00,,
615,51,2,,2014-01-22 00:00:00,,
616,165,2,,2014-01-22 00:00:00,,
617,30,10,,2014-01-22 00:00:00,,
618,179,2,,2014-01-22 00:00:00,,
619,153,2,,2014-01-22 00:00:00,,
620,159,2,,2014-01-22 00:00:00,,
621,166,2,,2014-01-22 00:00:00,,
622,179,2,,2014-01-22 00:00:00,,
623,178,2,,2014-01-22 00:00:00,,
625,175,2,,2014-01-22 00:00:00,,
626,102,2,,2014-01-22 00:00:00,,
627,46,2,,2014-01-22 00:00:00,,
628,2,2,,2014-01-22 00:00:00,,
629,144,2,,2014-01-22 00:00:00,,
630,110,2,,2014-01-22 00:00:00,,
631,184,2,,2014-01-22 00:00:00,,
632,182,2,,2014-01-22 00:00:00,,
633,181,2,,2014-01-22 00:00:00,,
634,182,2,,2014-01-22 00:00:00,,
635,174,2,,2014-01-22 00:00:00,,
636,173,2,,2014-01-22 00:00:00,,
637,159,2,,2014-01-22 00:00:00,,
638,166,2,,2014-01-22 00:00:00,,
639,101,2,,2014-01-22 00:00:00,,
640,189,2,,2014-01-22 00:00:00,,
641,6,2,,2014-01-22 00:00:00,,
642,191,2,,2014-01-22 00:00:00,,
643,102,2,,2014-01-22 00:00:00,,
644,175,2,,2014-01-22 00:00:00,,
645,177,2,,2014-01-22 00:00:00,,
646,167,2,,2014-01-22 00:00:00,,
647,186,2,,2014-01-22 00:00:00,,
648,194,2,,2014-01-22 00:00:00,,
649,169,2,,2014-01-22 00:00:00,,
650,170,2,,2014-01-22 00:00:00,,
651,22,2,,2014-01-22 00:00:00,,
652,69,2,,2014-01-22 00:00:00,,
653,134,2,,2014-01-22 00:00:00,,
654,71,2,,2014-01-22 00:00:00,,
