id,name,neighbourhood_group
1162,East Elmhurst,Queens
1178,New Springville,Staten Island
1193,Morris Heights,Bronx
1327,Arverne,Queens
1370,Cambria Heights,Queens
1424,Tottenville,Staten Island
1507,Mariners Harbor,Staten Island
1557,Concord,Staten Island
1564,Borough Park,Brooklyn
1688,Bayside,Queens
1689,Downtown Brooklyn,Brooklyn
1724,Port Morris,Bronx
1749,Fieldston,Bronx
1802,Kew Gardens,Queens
1871,Midwood,Brooklyn
1882,College Point,Queens
1965,Mount Eden,Bronx
2105,City Island,Bronx
2194,Glendale,Queens
2240,Port Richmond,Staten Island
2258,Red Hook,Brooklyn
2276,Richmond Hill,Queens
2701,Bellerose,Queens
2827,Maspeth,Queens
2930,Williamsbridge,Bronx
2983,Soundview,Bronx
3020,Woodhaven,Queens
3049,Woodrow,Staten Island
3050,Co-op City,Bronx
3101,Stuyvesant Town,Manhattan
3239,Parkchester,Bronx
3349,North Riverdale,Bronx
3395,Dyker Heights,Brooklyn
3439,Bronxdale,Bronx
3761,Sea Gate,Brooklyn
3809,Riverdale,Bronx
3824,Kew Gardens Hills,Queens
3964,Bay Terrace,Queens
4035,Norwood,Bronx
4140,Claremont Village,Bronx
4166,Whitestone,Queens
4226,Fordham,Bronx
4373,Bayswater,Queens
4477,Navy Yard,Brooklyn
4804,Brownsville,Brooklyn
4861,Eltingville,Staten Island
4918,Fresh Meadows,Queens
5217,Mount Hope,Bronx
5545,Lighthouse Hill,Staten Island
5611,Springfield Gardens,Queens
5840,Howard Beach,Queens
5993,Belle Harbor,Queens
6053,Jamaica Estates,Queens
6108,Van Nest,Bronx
6932,Morris Park,Bronx
6941,West Brighton,Staten Island
7134,Far Rockaway,Queens
7225,South Ozone Park,Queens
7226,Tremont,Bronx
7300,Corona,Queens
7769,Great Kills,Staten Island
8018,Manhattan Beach,Brooklyn
8288,Marble Hill,Manhattan
8782,Dongan Hills,Staten Island
9345,Castleton Corners,Staten Island
9563,East Morrisania,Bronx
9763,Hunts Point,Bronx
9986,Neponsit,Queens
10132,Pelham Bay,Bronx
10260,Randall Manor,Staten Island
10710,Throgs Neck,Bronx
10722,Todt Hill,Staten Island
10734,West Farms,Bronx
10834,Silver Lake,Staten Island
11200,Morrisania,Bronx
11211,Laurelton,Queens
11623,Grymes Hill,Staten Island
11738,Holliswood,Queens
11894,Pelham Gardens,Bronx
12192,Belmont,Bronx
12765,Rosedale,Queens
13737,Edgemere,Queens
13815,New Brighton,Staten Island
13967,Midland Beach,Staten Island
14235,Baychester,Bronx
14748,Melrose,Bronx
15430,Bergen Beach,Brooklyn
16035,Richmondtown,Staten Island
17312,Howland Hook,Staten Island
17397,Schuylerville,Bronx
17595,Coney Island,Brooklyn
17900,New Dorp Beach,Staten Island
18444,Prince's Bay,Staten Island
18518,South Beach,Staten Island
19109,Bath Beach,Brooklyn
19555,Jamaica Hills,Queens
19899,Oakwood,Staten Island
20196,Castle Hill,Bronx
20711,Hollis,Queens
21629,Douglaston,Queens
21847,Huguenot,Staten Island
21949,Olinville,Bronx
22281,Edenwald,Bronx
22594,Grant City,Staten Island
23449,Westerleigh,Staten Island
25146,"Bay Terrace, Staten Island",Staten Island
25188,Westchester Square,Bronx
25291,Little Neck,Queens
25386,Fort Wadsworth,Staten Island
25861,Rosebank,Staten Island
25880,Unionport,Bronx
26235,Mill Basin,Brooklyn
29604,Arden Heights,Staten Island
29738,Bull's Head,Staten Island
30489,New Dorp,Staten Island
33261,Rossville,Staten Island
33698,Breezy Point,Queens
34161,Willowbrook,Staten Island
