id,name,host_id,location_id,number_of_reviews,occupancy,price,room_type,host_listings_count
176,BROOKLYN VICTORIAN STYLE SUITE.....,181376,175,213,44,110,Private room,2
177,Your own Lovely West Village Studio,193637,176,86,119,170,Entire home/apt,1
178,ACCOMMODATIONS GALORE#3. 1-5 GUESTS,126607,177,80,134,165,Entire home/apt,3
179,Greenwich Village Stylish Apartment,201297,178,38,140,150,Entire home/apt,1
180,Clean and Cozy Harlem Apartment,202249,179,18,365,100,Entire home/apt,1
181,"Fort Greene, Brooklyn: Center Bedroom",67778,180,206,365,65,Private room,2
182,Beautiful Queens Brownstone! - 5BR,204539,181,10,0,350,Entire home/apt,5
183,Couldn't Be Closer To Columbia Uni,867225,182,122,132,99,Private room,2
184,Bright Spacious Luxury Condo,204724,183,33,364,200,Entire home/apt,1
185,Park Slope haven 15 mins from Soho,8198,184,52,347,150,Entire home/apt,1
186,SAFE  AND BEAUTIFUL ACCOMODATION,209460,185,126,22,90,Private room,4
187,Large Room in private Brownstone in Park Slope,210746,186,51,115,120,Private room,3
188,"NEW YORK CITY, 1 BDRM.(NEAR CENTRAL PARK & METRO)",212722,187,199,39,75,Private room,1
189,"LARGE, COMFY 1BDR W/CHARACTER!!!",214148,188,30,1,175,Entire home/apt,1
190,Chelsea Studio sublet 1 - 2 months,214287,189,3,365,125,Entire home/apt,1
191,LUX APT IN TIMES SQUARE NEW BUILDING,218404,190,41,66,275,Entire home/apt,1
192,Designer 1 BR Duplex w/ Terrace- Spectacular Views,221873,191,109,158,299,Entire home/apt,1
193,Lovely Apt & Garden;  Legal;  Best Area; Amenities,9744,192,151,203,135,Entire home/apt,3
194,1 Bedroom in 2 Bdrm Apt- Upper East,236421,193,0,365,130,Private room,2
195,Lower East Side $57~/night,236655,194,285,358,83,Private room,1
196,Prime Location in Manhattan,237329,195,375,37,123,Private room,1
197,( F) Excellent/Pvt Rm,27848,196,52,0,55,Private room,2
198,"Quiet, sunny Midtown Manhattan apt.",240360,197,10,365,195,Entire home/apt,1
199,Big Room/Washer-Dryer/Wifi/AC/JMZ,247432,198,11,365,80,Private room,1
200,cozy studio with parking spot,204539,199,33,125,98,Entire home/apt,5
201,Clean and convenient 2BR apartment,204539,200,6,0,140,Private room,5
202,3 floors of luxury!,204539,201,38,0,265,Entire home/apt,5
203,The Institute—Heart of Williamsburg,10889,202,358,201,249,Entire home/apt,2
204,MIDTOWN WEST - Large alcove studio,255583,203,10,2,105,Shared room,1
205,Beautiful Uptown Manhattan apartmnt,253385,204,0,0,200,Private room,1
206,Sml Rm in pr Brst  Park Sl great for Med/students,210746,205,226,115,100,Private room,3
207,City Room - Private Penthouse Apt.,256161,206,104,118,121,Entire home/apt,5
208,Cozy bedroom by Yankee Stadium,190409,207,138,42,45,Private room,3
209,Great apartment with private bathroom and entrance,258164,208,204,173,100,Private room,1
210,Private Garden Apt • New Renovation,260709,209,253,240,140,Entire home/apt,1
211,Modern comfort in art infused landmark Brownstone,262138,210,23,274,71,Private room,1
212,"NOHO/EAST VILLAGE, PRIVATE 1/2 BATH",88209,211,115,290,130,Private room,1
213,Sleek & Comfortable Soho Apt,263414,212,129,79,199,Entire home/apt,1
214,Spacious Williamsburg Share w/ LOFT BED,168525,213,82,305,69,Private room,2
215,Cozy 2 br in sunny Fort Greene apt,264928,214,37,365,68,Private room,1
216,Cozy East Village Railroad 1 Bed!,267593,215,204,173,130,Entire home/apt,1
217,1 Bedroom Loft w/ Private Roof Deck,268014,216,69,307,195,Entire home/apt,1
218,City Room - Private & Comfy Bedroom,256161,217,192,120,64,Private room,5
219,Elegant NYC Pad,272006,218,17,73,140,Entire home/apt,1
220,"Clean & bright 1BR in Cobble Hill, GREAT location!",199392,219,222,86,159,Entire home/apt,1
221,"Modern, Large East Village Loft",239208,220,205,365,189,Entire home/apt,1
222,"Great new apt, close to everything",274557,221,94,362,250,Entire home/apt,1
223,Quiet & Clean Retreat in the City,275459,222,7,14,239,Entire home/apt,1
224,Stylish Large Gramercy Loft!,275578,223,108,164,305,Entire home/apt,1
225,The Brownstone-Luxury 1 Bd Apt/NYC,276291,224,222,133,155,Entire home/apt,2
226,PRIVATE Room on Historic Sugar Hill,277379,225,458,107,60,Private room,2
227,South Slope Green,277394,226,21,93,135,Private room,1
228,"17 Flr. Manhattan Views, Nr. Subway",279797,227,17,24,120,Private room,1
229,"Spacious 1BR, Adorable Clean Quiet",282927,228,41,121,150,Entire home/apt,1
230,"Nice, clean, safe, convenient 3BR",204539,229,1,0,140,Entire home/apt,5
231,Franklin St Flat in Trendy Greenpoint Brooklyn,274782,230,69,353,135,Entire home/apt,1
232,"Artistic, Cozy, and Spacious w/ Patio! Sleeps 5",186084,231,18,100,250,Entire home/apt,2
233,One bedroom Apt. in NYC,288031,232,82,365,250,Entire home/apt,1
234,"Beautiful, elegant 3 bed SOHO loft",289653,233,94,36,500,Entire home/apt,1
235,Spacious Greenwich Village Apt,99212,234,10,274,225,Entire home/apt,1
236,SpaHa Studio Monthly Rental,292204,235,183,0,125,Entire home/apt,2
237,City Room - Private Luxury Suite,256161,236,189,112,92,Private room,5
238,Private Room/bath Luxurious Harlem,249372,237,1,0,175,Private room,1
239,The gem of the East Village,292630,238,127,45,99,Entire home/apt,1
240,"Bright and spacious, garden below!",293394,239,4,365,195,Entire home/apt,1
241,ACCOMMODATIONS GALORE #2,126607,240,135,173,140,Entire home/apt,3
242,Colorful Private One Bedroom Apt,295760,241,21,365,135,Entire home/apt,1
243,Huge Chelsea Loft,291112,242,35,17,500,Entire home/apt,1
244,Great room in great location,297176,243,10,365,80,Private room,2
245,Exclusive Room with Private Bath in  LES,297769,244,171,12,120,Private room,2
246,"Quiet, clean midtown apt w. elevato",23619,245,92,225,110,Entire home/apt,1
247,BK Sweet Suite w/Kitchen&FullBath,281764,246,238,363,65,Entire home/apt,1
248,Great East Village Apartment Rental,303882,247,56,309,130,Entire home/apt,1
249,BROWNSTONE SUNDRENCHED BEAUTY,197755,248,111,297,99,Entire home/apt,1
250,A SpeciaL!! Private Room in NY,303939,249,193,5,36,Private room,6
251,B NYC Staten Alternative...,303939,250,147,365,37,Private room,6
252,C Private Room By The Ferry,303939,251,177,45,37,Private room,6
253,Smallest House In The Village,306545,252,185,39,175,Entire home/apt,2
254,Beautiful modern studio apartment in heart of NYC,306605,253,62,289,205,Entire home/apt,2
255,Beautiful Landmarked Duplex,306739,254,124,86,285,Entire home/apt,3
256,BROOKLYN > Guest Room w/ Queen Bed in Williamsburg,308875,255,181,350,59,Private room,2
257,D Private Che@p Room 2 Explore NYC,303939,256,333,25,36,Private room,6
258,Safe cute near subway& Manhattan NY NY retro style,307962,257,441,139,99,Entire home/apt,1
259,Large and Cozy Private Bedroom,308652,258,45,0,39,Private room,2
260,Small tidy bedroom in duplex,310458,259,9,365,60,Private room,2
261,LL3,295128,260,0,16,90,Private room,7
262,DOMINIQUE'S NY mini efficiency* wifi*metro*quiet,310670,261,38,0,105,Entire home/apt,13
263,"Private, Large & Sunny Top Floor Apt  w/W&D",170510,262,248,354,135,Entire home/apt,2
264,Cottage in the Village,306545,263,143,49,390,Entire home/apt,2
265,BEDROOM1 FOR RENT 10min from Manhan,311286,264,36,84,70,Private room,4
266,"HOSTING YOUR  SUNNY, SPACIOUS NYC ROOM",312288,265,0,42,75,Private room,2
267,Williamsburg near soho. / loftbed,312722,266,14,3,60,Private room,4
268,Prime East Village 1 Bedroom,146944,267,0,365,200,Entire home/apt,1
269,BROOKLYN  STUDIO APARTMENT,313317,268,279,64,100,Private room,1
270,BEDROOM2 FOR RENT  10min from Manh,311286,269,18,176,70,Private room,4
271,cozy bedroom in lovely garden apt,314256,270,50,365,110,Private room,1
272,Crown Heights Garden Apt.,314582,271,227,78,60,Private room,2
273,Amazing  Sunny & Breezy Home In the Heart of  NYC,7310,272,1,351,90,Entire home/apt,1
274,ENJOY Downtown NYC!!,46978,273,203,279,68,Private room,2
275,Charming UWS Treehouse Apt,317809,274,210,104,115,Entire home/apt,1
276,Share a HOME - $75 for 1 bdrm/++ for 2 - Brooklyn,319092,275,64,297,75,Private room,1
277,"Room in S3rd/Bedford, Williamsburg",320422,276,0,365,60,Private room,1
278,CHARMING EAST VILLAGE 2 (or 1) BR,320450,277,5,134,129,Entire home/apt,1
279,Farmhouse Apartment in Williamsburg,320761,278,49,213,130,Entire home/apt,1
280,Bright+Spacious Williamsburg Abode!,320538,279,132,319,95,Entire home/apt,1
281,"Suite Sugar Hill, Harlem, Private Rm in Hosted Apt",321756,280,20,1,75,Private room,1
282,Beautiful 1 Bedroom Apt Park Slope,321934,281,11,119,175,Entire home/apt,1
283,CHARMING CARROLL GARDENS APT.,322884,282,51,77,190,Entire home/apt,1
284,Private Bedroom Brownstone Brooklyn,322716,283,15,34,49,Private room,5
285,East Village Loft with Piano & Patio,324460,284,67,314,212,Entire home/apt,1
286,Lower East Side Magic Room,314941,285,109,1,95,Private room,3
287,**Fantastic Williamsburg Apt**,325389,286,9,111,140,Entire home/apt,1
288,West Harlem Home Base - Eco-Apt.,136227,287,187,176,135,Entire home/apt,1
289,Charming Garden Apt in Park Slope,327673,288,214,102,150,Entire home/apt,2
290,"Lovely, Modern, Garden Apartment",329436,289,69,107,190,Entire home/apt,2
291,Central Park 1BR sunny condo,101597,290,22,262,124,Entire home/apt,1
292,Cozy Garden Apartment  in Williamsburg,330347,291,56,323,135,Entire home/apt,1
293,SoHa comfort-by NW Central Park!,332189,292,93,119,122,Private room,1
294,Cozy room in Upper West Side,323517,293,104,1,109,Private room,2
295,Cozy Private Room in Apartment,338454,294,64,47,85,Private room,1
296,The Cozy Brownstone Inn (discount)!,240427,295,127,293,145,Entire home/apt,2
297,Prewar Penthouse w Private Terrace,342054,296,30,116,195,Entire home/apt,1
298,Designer 2.5 BR Loft in Carroll Gardens by Subway,282655,297,106,93,250,Entire home/apt,3
299,Bright Beautiful Brooklyn,343250,298,6,40,125,Private room,1
300,Unique spacious loft on the Bowery,281229,299,191,67,575,Entire home/apt,1
301,"Nice renovated apt, prime location!",352168,300,48,330,150,Entire home/apt,1
302,Brooklyn Writer's Nook,155689,301,47,162,70,Private room,1
303,Private Bedroom in Large NYC Apartment,353965,302,120,233,90,Private room,1
304,"Large, Sunny Room East Village NYC",354330,303,52,360,65,Private room,1
305,Great Large 3 BR/2 Bath Duplex with Private Patio!,72062,304,48,68,500,Entire home/apt,4
306,All That Jazz. Uptown style on Sugar Hill.,361855,305,32,89,250,Entire home/apt,2
307,Bright and lovely 1 bdrm apt in LES,363834,306,43,263,125,Entire home/apt,1
308,Beautiful One Bed West Village - 4 Month Special,364955,307,39,114,200,Entire home/apt,1
309,Gigantic Private Brooklyn Loft!,365153,308,50,177,229,Entire home/apt,1
310,Condo Apartment with laundry in unit,369015,309,4,19,90,Entire home/apt,2
311,1BR: See Central Park from Terrace!,373085,310,38,365,110,Entire home/apt,1
312,Private room in cozy Greenpoint,340692,311,29,350,59,Private room,1
313,Food & Music Dream Apartment in Williamsburg,211877,312,59,294,195,Entire home/apt,1
314,French Garden cottage off Bedford,389924,313,68,150,169,Entire home/apt,2
315,Alcove Studio w/ outdoor Patio Deck,331328,314,26,112,113,Entire home/apt,3
316,Luxury 3 bed/ 2 bath apt in Harlem w/ terrace,391325,315,31,287,250,Entire home/apt,1
317,One Bedroom Mini studio - Free WIFI,265109,316,198,108,115,Entire home/apt,1
318,"Sunlit and Cozy Williamsburg/Greenpoint, Brooklyn",394752,317,1,365,55,Private room,1
319,BROOKLYN > Guest Room w/ King Bed in Williamsburg,308875,318,220,357,69,Private room,2
320,Bright Cozy Chinatown Studio Apt.,401696,319,286,174,150,Entire home/apt,1
321,Eveland the Place to Stay & Enjoy a 5-⭐️ 2bdrm,118971,320,398,183,169,Entire home/apt,3
322,Superior @ Box House,417504,321,36,286,179,Private room,28
323,Hells Kitchen Garden of Eden,134355,322,36,316,150,Private room,1
324,"Historic House Boerum Hill, BK, NYC",422561,323,6,365,135,Entire home/apt,1
325,Lovely 3 bedroom in Italianate Brownstone w/garden,425506,324,14,209,350,Entire home/apt,1
326,"Williamsburg HUGE, PRIVATE BATH - Next to Train!",430188,325,76,22,120,Private room,6
327,Cozy room in East Village with AC,434987,326,182,165,71,Private room,1
328,Duplex w/ Terrace @ Box House Hotel,417504,327,8,305,349,Private room,28
329,Loft w/ Terrace @ Box House Hotel,417504,328,7,305,349,Private room,28
330,Spacious 3 Bedroom Duplex in Park Slope,438133,329,34,176,165,Entire home/apt,2
331,Loft w/ Terrace @ Box House Hotel,417504,330,2,305,249,Private room,28
332,Columbia Castle in Brooklyn Heights,448312,331,66,365,100,Private room,2
333,Columbia Castle 2 BR,448312,332,80,259,200,Entire home/apt,2
334,"Charming Artist's Flat, East Village",449787,333,240,89,169,Entire home/apt,1
335,BEAUTIFUL 2 BEDROOM APARTMENT,451545,334,46,117,185,Entire home/apt,1
336,Brooklyn Cove Studio Apt w/ Garden!!,453519,335,228,171,65,Entire home/apt,1
337,"Ft. Greene garden gem, large and convenient",454756,336,5,230,130,Entire home/apt,1
338,Williamsburg penthouse with private roof cabana,456638,337,8,335,199,Entire home/apt,1
339,East Village Designer's 1-BR APT,410094,338,33,365,225,Entire home/apt,1
340,Superior @ Box House,417504,339,13,284,179,Private room,28
341,So Much Room in Brooklyn,459054,340,5,365,150,Entire home/apt,1
342,Large Studio--Heart of East Village,462776,341,388,223,139,Entire home/apt,1
343,Huge.Bright.Clean.Safe. Private Room,464506,342,223,305,95,Private room,2
344,Garden 1BR/1BA Brownstone Apt - 2 blocks to subway,322716,343,11,186,79,Entire home/apt,5
345,MODERN SPACIOUS 2 BR APT DOWNTOWN MANHATTAN,327900,344,151,313,150,Entire home/apt,2
346,The Brooklyn Waverly,116599,345,0,0,650,Entire home/apt,3
347,"WONDERFUL, COMFORTABLE STUDIO",209460,346,218,41,90,Entire home/apt,4
348,MAISON DES SIRENES 2,25183,347,75,128,120,Entire home/apt,2
349,"Modern, Safe, Clean, Bright Room in Astoria for 2",35375,348,42,0,80,Private room,2
350,LARGE 1BR (CONV 2BR) CROWN HEIGHTS,503800,349,0,0,100,Entire home/apt,1
351,The Vernon On Greene,478395,350,370,161,175,Entire home/apt,1
